rank,title,year,rating,url
1,The Shawshank Redemption,1994,9.3,https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,9.1,https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,9.0,https://www.imdb.com/title/tt0071562/
5,The Lord of the Rings: The Return of the King,2003,9.0,https://www.imdb.com/title/tt0167260/
6,12 Angry Men,1957,9.0,https://www.imdb.com/title/tt0050083/
7,Schindler's List,1993,9.0,https://www.imdb.com/title/tt0108052/
8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,https://www.imdb.com/title/tt0120737/
9,Pulp Fiction,1994,8.8,https://www.imdb.com/title/tt0110912/
10,The Lord of the Rings: The Two Towers,2002,8.8,https://www.imdb.com/title/tt0167261/
11,"The Good, the Bad and the Ugly",1966,8.8,https://www.imdb.com/title/tt0060196/
12,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/
13,Fight Club,1999,8.8,https://www.imdb.com/title/tt0137523/
14,Inception,2010,8.8,https://www.imdb.com/title/tt1375666/
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,https://www.imdb.com/title/tt0080684/
16,The Matrix,1999,8.7,https://www.imdb.com/title/tt0133093/
17,Interstellar,2014,8.7,https://www.imdb.com/title/tt0816692/
18,GoodFellas,1990,8.7,https://www.imdb.com/title/tt0099685/
19,One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com/title/tt0073486/
20,Seven,1995,8.6,https://www.imdb.com/title/tt0114369/
21,It's a Wonderful Life,1946,8.6,https://www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/
23,Saving Private Ryan,1998,8.6,https://www.imdb.com/title/tt0120815/
24,Seven Samurai,1954,8.6,https://www.imdb.com/title/tt0047478/
25,The Green Mile,1999,8.6,https://www.imdb.com/title/tt0120689/
26,City of God,2002,8.6,https://www.imdb.com/title/tt0317248/
27,Life Is Beautiful,1997,8.6,https://www.imdb.com/title/tt0118799/
28,Terminator 2: Judgment Day,1991,8.6,https://www.imdb.com/title/tt0103064/
29,Back to the Future,1985,8.5,https://www.imdb.com/title/tt0088763/
30,Star Wars: Episode IV - A New Hope,1977,8.6,https://www.imdb.com/title/tt0076759/
31,Spirited Away,2001,8.6,https://www.imdb.com/title/tt0245429/
32,Kill Bill: The Whole Bloody Affair,2004,8.7,https://www.imdb.com/title/tt6019206/
33,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/
34,The Pianist,2002,8.5,https://www.imdb.com/title/tt0253474/
35,Parasite,2019,8.5,https://www.imdb.com/title/tt6751668/
36,Grave of the Fireflies,1988,8.5,https://www.imdb.com/title/tt0095327/
37,Harakiri,1962,8.6,https://www.imdb.com/title/tt0056058/
38,Psycho,1960,8.5,https://www.imdb.com/title/tt0054215/
39,The Lion King,1994,8.5,https://www.imdb.com/title/tt0110357/
40,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/
